reach,d0,d1,d2,d3,d4,nUp,u0,u1,u2,u3,u4,area,upArea
9295,9328,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,63.26112780127564,63.26112780127564
9294,9320,-1.0,-1.0,-1.0,-1.0,2,9268,9267,-1,-1,-1.0,27.00148193079562,212245.3529151341
9293,9320,-1.0,-1.0,-1.0,-1.0,2,9266,9265,-1,-1,-1.0,128.62565129017406,423.57166015929886
9292,9316,-1.0,-1.0,-1.0,-1.0,2,9264,9263,-1,-1,-1.0,68.36535529230639,3833.4431166954887
9291,9316,-1.0,-1.0,-1.0,-1.0,2,9262,9261,-1,-1,-1.0,26.00686959957705,223.57313315399057
9290,9315,-1.0,-1.0,-1.0,-1.0,2,9260,9259,-1,-1,-1.0,10.59191617105383,182.62796270052445
9289,9315,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,50.53876053650094,50.53876053650094
9288,9314,-1.0,-1.0,-1.0,-1.0,2,9258,9257,-1,-1,-1.0,9.869049153670835,615.2826022861607
9287,9314,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,53.095355322769464,53.095355322769464
9286,9312,-1.0,-1.0,-1.0,-1.0,2,9256,9255,-1,-1,-1.0,167.7488580634365,7830.784668726118
9285,9312,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,54.672142232472076,54.672142232472076
9284,9310,-1.0,-1.0,-1.0,-1.0,2,9254,9253,-1,-1,-1.0,72.64858805034439,4419.340943959667
9283,9310,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,156.36177529538034,156.36177529538034
9282,9308,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,33.78121078784589,33.78121078784589
9281,9308,-1.0,-1.0,-1.0,-1.0,0,-1,-1,-1,-1,-1.0,104.39229313900822,104.39229313900822
9280,9306,-1.0,-1.0,-1.0,-1.0,2,9252,9251,-1,-1,-1.0,0.1483235385617814,3448.865999843751
9279,9306,-1.0,-1.0,-1.0,-1.0,2,9250,9249,-1,-1,-1.0,80.90421198419176,314.46128511426974
